YearMonth,"Cocoa
($/kg)","Coffee, Arabica
($/kg)","Coffee, Robusta
($/kg)","Tea, avg 3 auctions
($/kg)","Tea, Colombo
($/kg)","Tea, Kolkata
($/kg)","Tea, Mombasa
($/kg)","Coconut oil
($/mt)","Groundnuts
($/mt)","Fish meal
($/mt)","Groundnut oil **
($/mt)","Palm oil
($/mt)","Palm kernel oil
($/mt)","Soybeans
($/mt)","Soybean oil
($/mt)","Soybean meal
($/mt)","Rapeseed oil
($/mt)","Sunflower oil
($/mt)","Barley
($/mt)","Maize
($/mt)","Sorghum
($/mt)","Rice, Thai 5% 
($/mt)","Rice, Thai 25% 
($/mt)","Rice, Thai A.1
($/mt)","Rice, Viet Namese 5%
($/mt)","Wheat, US SRW
($/mt)","Wheat, US HRW
($/mt)","Banana, Europe
($/kg)","Banana, US
($/kg)","Orange
($/kg)","Beef **
($/kg)","Chicken **
($/kg)","Lamb **
($/kg)","Shrimps, Mexican
($/kg)","Sugar, EU
($/kg)","Sugar, US
($/kg)","Sugar, world
($/kg)","Tobacco, US import u.v.
($/mt)","Logs, Cameroon
($/cubic meter)","Logs, Malaysian
($/cubic meter)","Sawnwood, Cameroon
($/cubic meter)","Sawnwood, Malaysian
($/cubic meter)","Plywood
(cents/sheet)","Cotton, A Index
($/kg)"
1960M01,0.63,0.94,0.7,1.03,0.93,1.12,1.04,390,,,334,233,,94,204,91.9,,,20.36,45,39,104.45,,,,,59.89,,0.14,0.12,0.71,0.3,,1.43,0.12,0.12,0.07,1736.87,,31.94,,149.17,,0.65
1960M02,0.61,0.95,0.69,1.03,0.93,1.12,1.04,379,,,341,229,,91,201,86.7,,,20.41,44,39,103.54,,,,,60.99,,0.14,0.11,0.71,0.3,,1.5,0.12,0.12,0.07,1736.87,,31.94,,149.17,,0.65
1960M03,0.58,0.93,0.69,1.03,0.93,1.12,1.04,361,,,338,225,,92,201,84.1,,,20.72,45,35,103.79,,,,,61.73,,0.14,0.13,0.77,0.3,,1.5,0.12,0.12,0.07,1736.87,,31.94,,149.17,,0.65
1960M04,0.6,0.93,0.68,1.03,0.93,1.12,1.04,338,,,333,225,,93,207,86.7,,,20.64,45,35,100.97,,,,,60.99,,0.14,0.14,0.84,0.3,,1.68,0.12,0.12,0.07,1736.87,,31.94,,149.17,,0.64
1960M05,0.6,0.92,0.69,1.03,0.93,1.12,1.04,321,,,335,225,,93,209,81.5,,,20.61,48,35,102.15,,,,,57.69,,0.15,0.14,0.76,0.3,,1.76,0.12,0.12,0.07,1736.87,,31.94,,149.17,,0.65
1960M06,0.59,0.91,0.7,1.03,0.93,1.12,1.04,287,,,334,219,,91,218,80.3,,,20.13,47,36,103.13,,,,,55.48,,0.15,0.14,0.71,0.3,,1.76,0.12,0.13,0.07,1736.87,,31.94,,149.17,,0.66
1960M07,0.6,0.92,0.69,1.03,0.93,1.12,1.04,298,,,336,221,,92,224,77.7,,,20.04,47,39.9,102.05,,,,,54.75,,0.15,0.13,0.75,0.3,,1.74,0.12,0.13,0.07,1736.87,,31.94,,149.17,,0.66
1960M08,0.59,0.93,0.7,1.03,0.93,1.12,1.04,292,,,336,225,,93,237,77.7,,,20.13,47,39,109.71,,,,,55.12,,0.13,0.13,0.78,0.3,,1.59,0.12,0.13,0.07,1736.87,,31.94,,149.17,,0.65
1960M09,0.58,0.92,0.7,1.03,0.93,1.12,1.04,276,,,323,224,,92,231,82.8,,,20.26,46,35,116.1,,,,,56.59,,0.14,0.13,0.81,0.3,,1.52,0.12,0.13,0.07,1736.87,,31.94,,149.17,,0.66
1960M10,0.59,0.92,0.71,1.03,0.93,1.12,1.04,280,,,310,222,,88,237,75.1,,,19.72,42,35,115.21,,,,,56.95,,0.15,0.13,0.71,0.3,,1.63,0.12,0.13,0.05,1736.87,,31.94,,149.17,,0.67
